nb_thread;distance;min_duration;max_duration;avg_duration;speedup;efficiency
1;864;1785636212;1785636212;1785636212;1.0;1.0
16;864;226694820;226694820;226694820;7.876828469;0.4923017793
32;864;117696902;117696902;117696902;15.17148015;0.4741087546
48;864;78007044;78007044;78007044;22.89070474;0.4768896821
64;864;59834159;59834159;59834159;29.84309033;0.4662982864
80;864;51292899;51292899;51292899;34.81254222;0.4351567777
96;864;46460050;46460050;46460050;38.43379876;0.4003520704
112;864;41819358;41819358;41819358;42.69879542;0.3812392449
128;864;38980547;38980547;38980547;45.80839289;0.3578780694
144;864;38370481;38370481;38370481;46.53671691;0.3231716452
160;864;70379591;70379591;70379591;25.37150595;0.1585719122
176;864;36947652;36947652;36947652;48.32881429;0.2745955357
192;864;35998303;35998303;35998303;49.60334414;0.2583507507
208;864;35439240;35439240;35439240;50.38584947;0.2422396609
224;864;35840028;35840028;35840028;49.82240003;0.2224214287
240;864;35076232;35076232;35076232;50.90729848;0.2121137437
256;864;34466148;34466148;34466148;51.80840667;0.2023765886
